제품코드,제품명,1회 제공량(kcal),포화지방(g),단백질(g),지방(g),트랜스지방(g),나트륨(mg),당류(g),카페인(mg),콜레스테롤(mg),탄수화물(g)
9200000002487,나이트로 바닐라 크림,80,2,1,2.7,0,40,10,232,5,10
9200000000479,나이트로 콜드 브루,5,0,0,0,0,5,0,245,0,0
9200000002081,돌체 콜드 브루,220,6,6,10,0,80,22,155,20,24
9200000002407,리저브 나이트로,5,0,0,0,0,0,0,190,0,0
9200000002093,리저브 콜드 브루,5,0,0,0,0,0,0,190,0,0
9200000005282,막걸리향 크림 콜드 브루,300,13,3,16,0,65,32,53,10,35
9200000004312,민트 콜드 브루,100,0,0,0,0,0,23,415,0,24
9200000000487,바닐라 크림 콜드 브루,125,6,3,8,0,58,11,155,10,11
9200000005991,베르가못 콜드 브루,125,1.7,3,2.9,0,45,22,90,10,22
9200000006301,블랙&화이트 콜드 브루,175,12,1,14,0,70,12,190,5,12
9200000006056,스모크드 콜드 패션드,30,0,0,0,0,0,6,135,0,5
9200000003661,시그니처 더 블랙 콜드 브루,25,0,0,0,0,50,0,680,0,0
9200000004750,여수 윤슬 헤이즐넛 콜드브루,240,9,5,12,0,80,27,53,15,28
9200000003285,오트 콜드 브루,120,0.3,1,3.6,0,95,14,65,0,20
9200000005616,제주 비자림 리저브 콜드 브루,205,4.1,8,7,0,100,26,250,20,28
9200000000038,콜드 브루,5,0,0,0,0,11,0,155,0,0
9200000004770,콜드 브루,5,0,0,0,0,25,0,360,0,0
9200000001636,콜드 브루 몰트,505,20,7,30,0,150,41,190,40,51
9200000001635,콜드 브루 플로트,225,10,3,15,0,70,18,190,20,21
2,브루드 커피,5,0,0,0,0,15,0,260,0,0
106509,아이스 브루드 커피,5,0,0,0,0,10,0,140,0,0
9200000006655,리저브 아이스 프렌즈 시나몬 돌체폼 카푸치노,230,6,6,9,0,95,26,210,20,31
9200000006654,리저브 프렌즈 시나몬 돌체폼 카푸치노,265,7,8,11,0,120,29,210,25,33
9200000006619,아이스 프렌즈 시나몬 돌체폼 카푸치노,230,6,6,9,0,95,26,75,20,31
9200000006616,프렌즈 시나몬 돌체폼 카푸치노,265,7,8,11,0,120,29,75,25,33
9200000003252,더블 에스프레소 크림 라떼,240,8,8,12,0,120,24,90,25,25
9200000003255,아이스 더블 에스프레소 크림 라떼,190,7,5,9,0,85,20,90,15,21
30,에스프레소 콘 파나,30,2,1,2.4,0,5,0,75,0,1
25,에스프레소 마키아또,10,0,0,0,0,0,0,75,0,1
9200000005514,스타벅스 1호점 카페 아메리카노,10,0,1,0,0,0,0,210,0,2
9200000005516,아이스 스타벅스 1호점 카페 아메리카노,10,0,1,0,0,0,0,210,0,2
110563,아이스 카페 아메리카노,10,0,1,0,0,5,0,150,0,2
94,카페 아메리카노,10,0,1,0,0,5,0,150,0,2
110582,아이스 카라멜 마키아또,190,4.6,6,8,0,110,22,75,20,23
126197,카라멜 마키아또,200,5,8,9,0,130,22,75,25,24
110601,아이스 카푸치노,110,3.5,6,6,0,90,9,75,20,10
38,카푸치노,110,3,6,6,0,70,8,75,15,9
9200000004119,라벤더 카페 브레베,400,22,8,27,0,140,30,105,25,31
9200000006235,밀크카라멜 라떼,310,13,8,17,0,280,22,75,25,31
9200000006343,바닐라 라떼,210,5,8,9,0,130,24,75,25,25
9200000001939,바닐라 빈 라떼,245,6,9,9,0,150,27,210,30,29
9200000006054,번트 카라멜 라떼,380,13,12,20,0,250,30,210,35,37
9200000002095,사케라또 비안코 오버 아이스,270,18,3,21,0,45,14,315,10,17
9200000005518,스타벅스 1호점 카페 라떼,200,6,10,10,0,150,15,210,30,17
9200000005522,스타벅스 1호점 크림 라떼,215,12,2,14,0,25,19,210,5,20
9200000006164,스타벅스 꿀 호떡 라떼,360,11,10,18,0,150,23,75,30,45
128692,스타벅스 돌체 라떼,215,2,12,3.1,0,190,32,150,10,34
9200000004120,아이스 라벤더 카페 브레베,335,18,6,22,0,110,27,105,20,28
9200000006238,아이스 밀크카라멜 라떼,240,10,5,13,0,220,17,75,15,26
9200000006346,아이스 바닐라 라떼,150,3.2,5,5,0,80,19,75,15,20
9200000001941,아이스 바닐라 빈 라떼,155,2.9,5,4.8,0,75,20,210,15,22
9200000005520,아이스 스타벅스 1호점 카페 라떼,110,3.2,6,5,0,80,8,210,15,10
9200000005523,아이스 스타벅스 1호점 크림 라떼,215,12,2,14,0,25,19,210,5,20
9200000006165,아이스 스타벅스 꿀 호떡 라떼,290,10,6,16,0,80,16,75,15,38
128695,아이스 스타벅스 돌체 라떼,190,2,10,3.1,0,140,28,150,10,30
9200000005285,아이스 인절미 크림 라떼,455,16,9,23,0,180,43,75,15,53
110569,아이스 카페 라떼,110,3.5,6,6,0,75,8,75,20,9
9200000005284,인절미 크림 라떼,530,19,12,27,0,250,49,75,25,59
9200000006575,제주 비자림 리저브 에스프레소 라떼,240,7,10,10,0,160,22,210,30,26
41,카페 라떼,180,5,10,9,0,115,13,75,30,14
9200000006338,코르타도,115,3.2,6,5,0,85,8,255,15,11
110566,아이스 카페 모카,250,8,7,14,0,70,21,95,45,28
110572,아이스 화이트 초콜릿 모카,300,10,8,16,0,150,31,75,20,32
46,카페 모카,290,9,10,15,0,105,25,95,45,33
